service_code,rate_zone_code,from_weight_grams,to_weight_grams,price_minor,additional_step_grams,additional_price_minor,source_sheet,source_cell
DOMESTIC_SAVER,21,9001,9501,5094700,,,Domestic saver,L45
DOMESTIC_SAVER,20,9001,9501,8518600,,,Domestic saver,M45
DOMESTIC_SAVER,23,9501,10001,3637200,,,Domestic saver,J46
DOMESTIC_SAVER,22,9501,10001,4761700,,,Domestic saver,K46
DOMESTIC_SAVER,21,9501,10001,5271300,,,Domestic saver,L46
DOMESTIC_SAVER,20,9501,10001,8841600,,,Domestic saver,M46
DOMESTIC_SAVER,23,10001,11001,3970400,,,Domestic saver,J47
DOMESTIC_SAVER,22,10001,11001,5115700,,,Domestic saver,K47
DOMESTIC_SAVER,21,10001,11001,5617800,,,Domestic saver,L47
DOMESTIC_SAVER,20,10001,11001,9484800,,,Domestic saver,M47
DOMESTIC_SAVER,23,11001,12001,4303400,,,Domestic saver,J48
DOMESTIC_SAVER,22,11001,12001,5467700,,,Domestic saver,K48
DOMESTIC_SAVER,21,11001,12001,5967400,,,Domestic saver,L48
DOMESTIC_SAVER,20,11001,12001,10127800,,,Domestic saver,M48
DOMESTIC_SAVER,23,12001,13001,4638000,,,Domestic saver,J49
DOMESTIC_SAVER,22,12001,13001,5822100,,,Domestic saver,K49
DOMESTIC_SAVER,21,12001,13001,6316600,,,Domestic saver,L49
DOMESTIC_SAVER,20,12001,13001,10771300,,,Domestic saver,M49
DOMESTIC_SAVER,23,13001,14001,4972500,,,Domestic saver,J50
DOMESTIC_SAVER,22,13001,14001,6175000,,,Domestic saver,K50
DOMESTIC_SAVER,21,13001,14001,6666700,,,Domestic saver,L50
DOMESTIC_SAVER,20,13001,14001,11414100,,,Domestic saver,M50
DOMESTIC_SAVER,23,14001,15001,5305800,,,Domestic saver,J51
DOMESTIC_SAVER,22,14001,15001,6529300,,,Domestic saver,K51
DOMESTIC_SAVER,21,14001,15001,7015400,,,Domestic saver,L51
DOMESTIC_SAVER,20,14001,15001,12057300,,,Domestic saver,M51
DOMESTIC_SAVER,23,15001,16001,5631000,,,Domestic saver,J52
DOMESTIC_SAVER,22,15001,16001,6874600,,,Domestic saver,K52
DOMESTIC_SAVER,21,15001,16001,7364500,,,Domestic saver,L52
DOMESTIC_SAVER,20,15001,16001,12701000,,,Domestic saver,M52
DOMESTIC_SAVER,23,16001,17001,5957600,,,Domestic saver,J53
DOMESTIC_SAVER,22,16001,17001,7219900,,,Domestic saver,K53
DOMESTIC_SAVER,21,16001,17001,7713000,,,Domestic saver,L53
DOMESTIC_SAVER,20,16001,17001,13344600,,,Domestic saver,M53
DOMESTIC_SAVER,23,17001,18001,6284300,,,Domestic saver,J54
DOMESTIC_SAVER,22,17001,18001,7563800,,,Domestic saver,K54
DOMESTIC_SAVER,21,17001,18001,8062800,,,Domestic saver,L54
DOMESTIC_SAVER,20,17001,18001,13986400,,,Domestic saver,M54
DOMESTIC_SAVER,23,18001,19001,6610100,,,Domestic saver,J55
DOMESTIC_SAVER,22,18001,19001,7909900,,,Domestic saver,K55
DOMESTIC_SAVER,21,18001,19001,8411100,,,Domestic saver,L55
DOMESTIC_SAVER,20,18001,19001,14631200,,,Domestic saver,M55
DOMESTIC_SAVER,23,19001,20001,6936700,,,Domestic saver,J56
DOMESTIC_SAVER,22,19001,20001,8255100,,,Domestic saver,K56
