source_row_id,state_code,city_name,normalized_city_name,centre_area,rate_zone_code,surcharge_code,surcharge_type,surcharge_amount_minor
39,AB,OHANKU,OHANKU,ABA,21,524,E,500000
110,AB,OHIYA,OHIYA,ABA,21,629,R,700000
40,AB,OHUHU EKWURU,OHUHUEKWURU,ABA,21,524,E,500000
111,AB,OKAM,OKAM,ABA,21,629,R,700000
112,AB,OKPUALA NGWA,OKPUALANGWA,ABA,21,629,R,700000
113,AB,OLOKO,OLOKO,ABA,21,629,R,700000
41,AB,OLOKORO,OLOKORO,ABA,21,524,E,500000
42,AB,OMOBA,OMOBA,ABA,21,524,E,500000
43,AB,OSUSU NGWA UKWU,OSUSUNGWAUKWU,ABA,21,524,E,500000
114,AB,OTAMKPA,OTAMKPA,ABA,21,629,R,700000
115,AB,OVIM,OVIM,ABA,21,629,R,700000
44,AB,OWASA,OWASA,ABA,21,524,E,500000
116,AB,OWAZA,OWAZA,ABA,21,629,R,700000
45,AB,OWERRIENTA,OWERRIENTA,ABA,21,524,E,500000
117,AB,OZUABAM,OZUABAM,ABA,21,629,R,700000
118,AB,OZUITEM,OZUITEM,ABA,21,629,R,700000
46,AB,UBAKALA,UBAKALA,ABA,21,524,E,500000
119,AB,Uburu-Ohaozara,UBURUOHAOZARA,ABA,21,629,R,700000
120,AB,UGWUEKE,UGWUEKE,ABA,21,629,R,700000
121,AB,UGWUNAGBO,UGWUNAGBO,ABA,21,629,R,700000
47,AB,UKWA EAST L.G.,UKWAEASTLG,ABA,21,524,E,500000
48,AB,UKWA WEST L.G.,UKWAWESTLG,ABA,21,524,E,500000
122,AB,UMIOBORO,UMIOBORO,ABA,21,629,R,700000
49,AB,UMUARO,UMUARO,ABA,21,524,E,500000
50,AB,UMUDA,UMUDA,ABA,21,524,E,500000
51,AB,UMUDIKE,UMUDIKE,ABA,21,524,E,500000
123,AB,UMUHU ESECHI,UMUHUESECHI,ABA,21,629,R,700000
52,AB,UMUIRE,UMUIRE,ABA,21,524,E,500000
124,AB,UMUNWANWA,UMUNWANWA,ABA,21,629,R,700000
53,AB,UMUOBIALA,UMUOBIALA,ABA,21,524,E,500000
54,AB,UMUOSU,UMUOSU,ABA,21,524,E,500000
55,AB,URATTA UMUOHA,URATTAUMUOHA,ABA,21,524,E,500000
125,AB,UTUTU,UTUTU,ABA,21,629,R,700000
126,AB,UZIOMA NNEATO,UZIOMANNEATO,ABA,21,629,R,700000
127,AB,UZUAKOLI,UZUAKOLI,ABA,21,629,R,700000
2068,AD,BAISSA,BAISSA,YOLA,20,629,R,700000
2069,AD,BALI,BALI,YOLA,20,629,R,700000
2059,AD,BANJIRAM,BANJIRAM,YOLA,20,524,E,500000
2071,AD,BARE,BARE,YOLA,20,629,R,700000
2072,AD,Bemsa/Gyawana/Guyuk,BEMSAGYAWANAGUYUK,YOLA,20,629,R,700000
2073,AD,BURRONG,BURRONG,YOLA,20,629,R,700000
2074,AD,DAN ANACHA,DANANACHA,YOLA,20,629,R,700000
2060,AD,DEMSA,DEMSA,YOLA,20,524,E,500000
2075,AD,DONGA,DONGA,YOLA,20,629,R,700000
2076,AD,DUMME,DUMME,YOLA,20,629,R,700000
2061,AD,FUFORE,FUFORE,YOLA,20,524,E,500000
2077,AD,GANYE,GANYE,YOLA,20,629,R,700000
2078,AD,GARKIDA,GARKIDA,YOLA,20,629,R,700000
2079,AD,GEMBU,GEMBU,YOLA,20,629,R,700000
2080,AD,GEMBU MAYONDAGA NGUREJE,GEMBUMAYONDAGANGUREJE,YOLA,20,629,R,700000
2081,AD,GULAK,GULAK,YOLA,20,629,R,700000
2082,AD,GUMTI,GUMTI,YOLA,20,629,R,700000
2083,AD,GUYAKU,GUYAKU,YOLA,20,629,R,700000
2084,AD,GUYUK,GUYUK,YOLA,20,629,R,700000
2062,AD,GYAWANA,GYAWANA,YOLA,20,524,E,500000
2063,AD,HONG,HONG,YOLA,20,524,E,500000
2085,AD,IBI,IBI,YOLA,20,629,R,700000
2086,AD,IBI /DONGA,IBIDONGA,YOLA,20,629,R,700000
2064,AD,JADA,JADA,YOLA,20,524,E,500000
2087,AD,JALINGO,JALINGO,YOLA,20,629,R,700000
2088,AD,Jalingo/Bali,JALINGOBALI,YOLA,20,629,R,700000
2090,AD,JEN,JEN,YOLA,20,629,R,700000
2091,AD,KARIM-LAMIDO,KARIMLAMIDO,YOLA,20,629,R,700000
2092,AD,KIRI DAM,KIRIDAM,YOLA,20,629,R,700000
2093,AD,KOLA,KOLA,YOLA,20,629,R,700000
2094,AD,KURMI MUSA,KURMIMUSA,YOLA,20,629,R,700000
2095,AD,KWAMBULA,KWAMBULA,YOLA,20,629,R,700000
2096,AD,LAFIA-LAMURDE,LAFIALAMURDE,YOLA,20,629,R,700000
2097,AD,LAU,LAU,YOLA,20,629,R,700000
2098,AD,MADAGALI,MADAGALI,YOLA,20,629,R,700000
2099,AD,MAIHA,MAIHA,YOLA,20,629,R,700000
2100,AD,MARARABA MUBI,MARARABAMUBI,YOLA,20,629,R,700000
2101,AD,Maye/Belwa/Jada,MAYEBELWAJADA,YOLA,20,629,R,700000
2102,AD,MICHIKA,MICHIKA,YOLA,20,629,R,700000
2103,AD,MUBI,MUBI,YOLA,20,629,R,700000
2104,AD,MUTUM BIYU,MUTUMBIYU,YOLA,20,629,R,700000
2065,AD,NUMAN,NUMAN,YOLA,20,524,E,500000
2105,AD,PANTISAWA,PANTISAWA,YOLA,20,629,R,700000
2106,AD,PELLA,PELLA,YOLA,20,629,R,700000
2107,AD,Sert-Baruwa,SERTBARUWA,YOLA,20,629,R,700000
2108,AD,SERTI,SERTI,YOLA,20,629,R,700000
2109,AD,SERTI-BARUWA,SERTIBARUWA,YOLA,20,629,R,700000
2110,AD,SHELLENG,SHELLENG,YOLA,20,629,R,700000
2066,AD,SONG,SONG,YOLA,20,524,E,500000
2111,AD,TAKUM,TAKUM,YOLA,20,629,R,700000
2112,AD,UBA,UBA,YOLA,20,629,R,700000
2113,AD,WUKARI,WUKARI,YOLA,20,629,R,700000
2114,AD,YORRO,YORRO,YOLA,20,629,R,700000
2067,AD,ZING,ZING,YOLA,20,524,E,500000
1862,AK,ABIA OKPO,ABIAOKPO,UYO,21,524,E,500000
1863,AK,ADIASIM,ADIASIM,UYO,21,524,E,500000
1864,AK,AFUA EDEMAYA,AFUAEDEMAYA,UYO,21,524,E,500000
1909,AK,EASTERN OBOLO,EASTERNOBOLO,UYO,21,629,R,700000
1865,AK,EBUGHU,EBUGHU,UYO,21,524,E,500000
1910,AK,EDEMAYA,EDEMAYA,UYO,21,629,R,700000
1866,AK,EKEYA,EKEYA,UYO,21,524,E,500000
1867,AK,EKPARAKWA,EKPARAKWA,UYO,21,524,E,500000
1868,AK,EKPENE OBO,EKPENEOBO,UYO,21,524,E,500000
1869,AK,ESA EKPO,ESAEKPO,UYO,21,524,E,500000
1870,AK,ESSENE,ESSENE,UYO,21,524,E,500000
1871,AK,ESSIEN UDIM,ESSIENUDIM,UYO,21,524,E,500000
1872,AK,ETE PO,ETEPO,UYO,21,524,E,500000
1873,AK,ETIM EKPO,ETIMEKPO,UYO,21,524,E,500000
1874,AK,ETIP EDIENE,ETIPEDIENE,UYO,21,524,E,500000
1875,AK,IBENO,IBENO,UYO,21,524,E,500000
1911,AK,IBIONO,IBIONO,UYO,21,629,R,700000
1913,AK,IKONO,IKONO,UYO,21,629,R,700000
1884,AK,IKOT-ABASI,IKOTABASI,UYO,21,524,E,500000
1876,AK,IKOT AKPADEN,IKOTAKPADEN,UYO,21,524,E,500000
1877,AK,IKOT ANTIA IDIDEP,IKOTANTIAIDIDEP,UYO,21,524,E,500000
1878,AK,IKOT ETUKUDO,IKOTETUKUDO,UYO,21,524,E,500000
1879,AK,IKOT IDAHA,IKOTIDAHA,UYO,21,524,E,500000
1914,AK,IKOT INUEN,IKOTINUEN,UYO,21,629,R,700000
1880,AK,IKOT MFON,IKOTMFON,UYO,21,524,E,500000
1915,AK,IKOT NAKANDA,IKOTNAKANDA,UYO,21,629,R,700000
1881,AK,IKOT OKORO UDIUM,IKOTOKOROUDIUM,UYO,21,524,E,500000
1912,AK,IKO TOWN,IKOTOWN,UYO,21,629,R,700000
1885,AK,IKOT-UBO,IKOTUBO,UYO,21,524,E,500000
1882,AK,IKOT UDOFIA,IKOTUDOFIA,UYO,21,524,E,500000
1883,AK,IKOT UKPONG NSIT,IKOTUKPONGNSIT,UYO,21,524,E,500000
1886,AK,IKPE IKOT NKON,IKPEIKOTNKON,UYO,21,524,E,500000
1916,AK,ITU MBONUSO,ITUMBONUSO,UYO,21,629,R,700000
1887,AK,IWUKEM,IWUKEM,UYO,21,524,E,500000
1888,AK,MBIASO,MBIASO,UYO,21,524,E,500000
1889,AK,MKPAT ENIN,MKPATENIN,UYO,21,524,E,500000
1890,AK,NSIE,NSIE,UYO,21,524,E,500000
1891,AK,NTO EDINO,NTOEDINO,UYO,21,524,E,500000
1892,AK,OBO,OBO,UYO,21,524,E,500000
1893,AK,OBONG NTAK,OBONGNTAK,UYO,21,524,E,500000
1894,AK,OBOT AKARA,OBOTAKARA,UYO,21,524,E,500000
1917,AK,OBOTME/IWERE,OBOTMEIWERE,UYO,21,629,R,700000
1895,AK,OBUFI,OBUFI,UYO,21,524,E,500000
1896,AK,ODOBO,ODOBO,UYO,21,524,E,500000
1918,AK,ODORO IKOT,ODOROIKOT,UYO,21,629,R,700000
1897,AK,ODORO IKPE,ODOROIKPE,UYO,21,524,E,500000
1919,AK,OFI UDA,OFIUDA,UYO,21,629,R,700000
1920,AK,OKU MBIABO AYADEGHE,OKUMBIABOAYADEGHE,UYO,21,629,R,700000
1898,AK,ONNA,ONNA,UYO,21,524,E,500000
1899,AK,ORON,ORON,UYO,21,524,E,500000
1901,AK,OTI ORON,OTIORON,UYO,21,524,E,500000
1902,AK,OYUBIA,OYUBIA,UYO,21,524,E,500000
1903,AK,UDUNG AFFIANG,UDUNGAFFIANG,UYO,21,524,E,500000
1904,AK,UDUNG UKO,UDUNGUKO,UYO,21,524,E,500000
1905,AK,UKANAFUN,UKANAFUN,UYO,21,524,E,500000
1906,AK,UKUKUDUNG,UKUKUDUNG,UYO,21,524,E,500000
1907,AK,UNIVERSITY OF UYO,UNIVERSITYOFUYO,UYO,21,524,E,500000
1908,AK,UQUO,UQUO,UYO,21,524,E,500000
1216,AN,ABACHA TOWN,ABACHATOWN,ONITSHA,21,629,R,700000
1137,AN,ABAGANA,ABAGANA,ONITSHA,21,524,E,500000
1138,AN,ABATETE,ABATETE,ONITSHA,21,524,E,500000
1217,AN,ACHALLA,ACHALLA,ONITSHA,21,629,R,700000
1139,AN,ACHINA,ACHINA,ONITSHA,21,524,E,500000
1140,AN,ADAAZI - ANI,ADAAZIANI,ONITSHA,21,524,E,500000
1347,AN,ADAZI ANI,ADAZIANI,ONTISHA,21,524,E,500000
1141,AN,ADAZI - ENU,ADAZIENU,ONITSHA,21,524,E,500000
1142,AN,ADAZI-NNUKWU,ADAZINNUKWU,ONITSHA,21,524,E,500000
1218,AN,AFOH-AGULU,AFOHAGULU,ONITSHA,21,629,R,700000
1143,AN,AFOIGWE,AFOIGWE,ONITSHA,21,524,E,500000
1219,AN,AFOR AGULU,AFORAGULU,ONITSHA,21,629,R,700000
1220,AN,AFOR -AKPO,AFORAKPO,ONITSHA,21,629,R,700000
1221,AN,AFOR AKPU,AFORAKPU,ONITSHA,21,629,R,700000
1222,AN,AGUATA,AGUATA,ONITSHA,21,629,R,700000
1349,AN,AGUKWU NRI,AGUKWUNRI,ONTISHA,21,524,E,500000
1223,AN,AGULERI,AGULERI,ONITSHA,21,629,R,700000
1144,AN,AGULU,AGULU,ONITSHA,21,524,E,500000
1224,AN,AGULU UZOIGBO,AGULUUZOIGBO,ONITSHA,21,629,R,700000
1225,AN,AGURELI,AGURELI,ONITSHA,21,629,R,700000
