pincode,state_code,state,district,city,locality,office_name,is_remote,confidence,source_url
732105,JI,Jigawa,Maigatari,Maigatari,Maigatari,Maigatari,true,HIGH,https://zipcodes.ng/maigatari/
732106,JI,Jigawa,Sule Tankarkar,Sule Tankarkar,Sule Tankarkar,Sule Tankarkar,true,HIGH,https://zipcodes.ng/sule-tankarkar/
733101,JI,Jigawa,Garki,Garki,Garki,Garki,true,HIGH,https://zipcodes.ng/garki/
733102,JI,Jigawa,Ringim,Ringim,Ringim,Ringim,true,HIGH,https://zipcodes.ng/ringim/
733103,JI,Jigawa,Taura,Taura,Taura,Taura,true,HIGH,https://zipcodes.ng/taura/
740101,BA,Bauchi,Bauchi,Bauchi,Bauchi,Bauchi,false,HIGH,https://zipcodes.ng/bauchi/
740102,BA,Bauchi,Bauchi,Bauchi,Bauchi,Bauchi,false,HIGH,https://zipcodes.ng/bauchi/
740103,BA,Bauchi,Toro,Toro,Toro,Toro,true,HIGH,https://zipcodes.ng/toro/
740104,BA,Bauchi,Toro,Toro,Toro,Toro,true,HIGH,https://zipcodes.ng/toro/
740105,BA,Bauchi,Toro,Toro,Toro,Toro,true,HIGH,https://zipcodes.ng/toro/
740106,BA,Bauchi,Toro,Toro,Toro,Toro,true,HIGH,https://zipcodes.ng/toro/
740107,BA,Bauchi,Toro,Toro,Toro,Toro,true,HIGH,https://zipcodes.ng/toro/
740108,BA,Bauchi,Toro,Toro,Toro,Toro,true,HIGH,https://zipcodes.ng/toro/
740109,BA,Bauchi,Toro,Toro,Toro,Toro,true,HIGH,https://zipcodes.ng/toro/
740110,BA,Bauchi,Toro,Toro,Toro,Toro,true,HIGH,https://zipcodes.ng/toro/
740111,BA,Bauchi,Toro,Toro,Toro,Toro,true,HIGH,https://zipcodes.ng/toro/
740112,BA,Bauchi,Toro,Toro,Toro,Toro,true,HIGH,https://zipcodes.ng/toro/
740113,BA,Bauchi,Toro,Toro,Toro,Toro,true,HIGH,https://zipcodes.ng/toro/
740115,BA,Bauchi,Toro,Toro,Toro,Toro,true,HIGH,https://zipcodes.ng/toro/
740116,BA,Bauchi,Toro,Toro,Toro,Toro,true,HIGH,https://zipcodes.ng/toro/
740117,BA,Bauchi,Toro,Toro,Toro,Toro,true,HIGH,https://zipcodes.ng/toro/
740118,BA,Bauchi,Toro,Toro,Toro,Toro,true,HIGH,https://zipcodes.ng/toro/
741101,BA,Bauchi,Dass,Dass,Dass,Dass,true,HIGH,https://zipcodes.ng/dass/
741102,BA,Bauchi,Tafawa Balewa,Tafawa Balewa,Tafawa Balewa,Tafawa Balewa,true,HIGH,https://zipcodes.ng/tafawa-balewa/
741104,BA,Bauchi,Bogoro,Bogoro,Bogoro,Bogoro,true,HIGH,https://zipcodes.ng/bogoro/
742101,BA,Bauchi,Ningi,Ningi,Ningi,Ningi,true,HIGH,https://zipcodes.ng/ningi/
742102,BA,Bauchi,Ningi,Ningi,Ningi,Ningi,true,HIGH,https://zipcodes.ng/ningi/
742103,BA,Bauchi,Warji,Warji,Warji,Warji,true,HIGH,https://zipcodes.ng/warji/
742104,BA,Bauchi,Ganjuwa,Kafin Madaki,Kafin Madaki,Kafin Madaki,true,MEDIUM,https://nigeriapostal.com/location/NG-Bauchi/Ganjuwa
743101,BA,Bauchi,Alkaleri,Alkaleri,Alkaleri,Alkaleri,true,HIGH,https://zipcodes.ng/alkaleri/
743102,BA,Bauchi,Alkaleri,Alkaleri,Alkaleri,Alkaleri,true,HIGH,https://zipcodes.ng/alkaleri/
743103,BA,Bauchi,Alkaleri,Alkaleri,Alkaleri,Alkaleri,true,HIGH,https://zipcodes.ng/alkaleri/
743104,BA,Bauchi,Kirfi,Kirfi,Kirfi,Kirfi,true,HIGH,https://zipcodes.ng/kirfi/
750001,BA,Bauchi,Misau,Misau,Misau,Misau,true,MEDIUM,https://nigeriapostal.com/location/NG-Bauchi/Misau
750101,BA,Bauchi,Misau,Misau,Misau,Misau,true,MEDIUM,https://nigeriapostal.com/location/NG-Bauchi/Misau
750103,BA,Bauchi,Shira,Shira,Shira,Shira,true,HIGH,https://zipcodes.ng/shira/
750104,BA,Bauchi,Shira,Shira,Shira,Shira,true,HIGH,https://zipcodes.ng/shira/
750105,BA,Bauchi,Giade,Giade,Giade,Giade,true,HIGH,https://zipcodes.ng/giade-l-g-a-zip-codes/
750106,BA,Bauchi,Darazo,Darazo,Darazo,Darazo,true,HIGH,https://zipcodes.ng/darazo/
750107,BA,Bauchi,Darazo,Darazo,Darazo,Darazo,true,HIGH,https://zipcodes.ng/darazo/
750108,BA,Bauchi,Darazo,Darazo,Darazo,Darazo,true,HIGH,https://zipcodes.ng/darazo/
750109,BA,Bauchi,Darazo,Darazo,Darazo,Darazo,true,HIGH,https://zipcodes.ng/darazo/
750110,BA,Bauchi,Darazo,Darazo,Darazo,Darazo,true,HIGH,https://zipcodes.ng/darazo/
750111,BA,Bauchi,Darazo,Darazo,Darazo,Darazo,true,HIGH,https://zipcodes.ng/darazo/
750112,BA,Bauchi,Darazo,Darazo,Darazo,Darazo,true,HIGH,https://zipcodes.ng/darazo/
750113,BA,Bauchi,Darazo,Darazo,Darazo,Darazo,true,HIGH,https://zipcodes.ng/darazo/
750114,BA,Bauchi,Darazo,Darazo,Darazo,Darazo,true,HIGH,https://zipcodes.ng/darazo/
750115,BA,Bauchi,Darazo,Darazo,Darazo,Darazo,true,HIGH,https://zipcodes.ng/darazo/
750116,BA,Bauchi,Darazo,Darazo,Darazo,Darazo,true,HIGH,https://zipcodes.ng/darazo/
751101,BA,Bauchi,Katagum,Azare,Azare,Azare,true,HIGH,https://zipcodes.ng/katagum/
751102,BA,Bauchi,Katagum,Azare,Azare,Azare,true,HIGH,https://zipcodes.ng/katagum/
751104,BA,Bauchi,Giade,Giade,Giade,Giade,true,HIGH,https://zipcodes.ng/giade-l-g-a-zip-codes/
751105,BA,Bauchi,Itas/Gadau,Itas,Itas,Itas,true,MEDIUM,https://zipcodes.ng/gadau/
751106,BA,Bauchi,Jama’are,Jama’are,Jama’are,Jama’are,true,HIGH,https://zipcodes.ng/jamaare/
751107,BA,Bauchi,Jama’are,Jama’are,Jama’are,Jama’are,true,HIGH,https://zipcodes.ng/jamaare/
751108,BA,Bauchi,Jama’are,Jama’are,Jama’are,Jama’are,true,HIGH,https://zipcodes.ng/jamaare/
751109,BA,Bauchi,Jama’are,Jama’are,Jama’are,Jama’are,true,HIGH,https://zipcodes.ng/jamaare/
751110,BA,Bauchi,Jama’are,Jama’are,Jama’are,Jama’are,true,HIGH,https://zipcodes.ng/jamaare/
752106,BA,Bauchi,Gamawa,Gamawa,Gamawa,Gamawa,true,HIGH,https://zipcodes.ng/gamawa/
752107,BA,Bauchi,Gamawa,Gamawa,Gamawa,Gamawa,true,HIGH,https://zipcodes.ng/gamawa/
760102,GO,Gombe,Kwami,Kwami,Kwami,Kwami,true,HIGH,https://zipcodes.ng/kwami/
760103,GO,Gombe,Kwami,Kwami,Kwami,Kwami,true,HIGH,https://zipcodes.ng/kwami/
760104,GO,Gombe,Dukku,Dukku,Dukku,Dukku,true,HIGH,https://zipcodes.ng/dukku-l-g-a-zip-codes/
760105,GO,Gombe,Dukku,Dukku,Dukku,Dukku,true,HIGH,https://zipcodes.ng/dukku-l-g-a-zip-codes/
760106,GO,Gombe,Dukku,Dukku,Dukku,Dukku,true,HIGH,https://zipcodes.ng/dukku-l-g-a-zip-codes/
760211,GO,Gombe,Gombe,Gombe,Gombe,Gombe,false,HIGH,https://zipcodes.ng/gombe/
760212,GO,Gombe,Gombe,Gombe,Gombe,Gombe,false,HIGH,https://zipcodes.ng/gombe/
760213,GO,Gombe,Gombe,Gombe,Gombe,Gombe,false,HIGH,https://zipcodes.ng/gombe/
760214,GO,Gombe,Gombe,Gombe,Gombe,Gombe,false,HIGH,https://zipcodes.ng/gombe/
760221,GO,Gombe,Gombe,Gombe,Gombe,Gombe,false,HIGH,https://zipcodes.ng/gombe/
760222,GO,Gombe,Gombe,Gombe,Gombe,Gombe,false,HIGH,https://zipcodes.ng/gombe/
760231,GO,Gombe,Gombe,Gombe,Gombe,Gombe,false,HIGH,https://zipcodes.ng/gombe/
760232,GO,Gombe,Gombe,Gombe,Gombe,Gombe,false,HIGH,https://zipcodes.ng/gombe/
760233,GO,Gombe,Gombe,Gombe,Gombe,Gombe,false,HIGH,https://zipcodes.ng/gombe/
760234,GO,Gombe,Gombe,Gombe,Gombe,Gombe,false,HIGH,https://zipcodes.ng/gombe/
760242,GO,Gombe,Gombe,Gombe,Gombe,Gombe,false,HIGH,https://zipcodes.ng/gombe/
760251,GO,Gombe,Gombe,Gombe,Gombe,Gombe,false,HIGH,https://zipcodes.ng/gombe/
760252,GO,Gombe,Gombe,Gombe,Gombe,Gombe,false,HIGH,https://zipcodes.ng/gombe/
760253,GO,Gombe,Gombe,Gombe,Gombe,Gombe,false,HIGH,https://zipcodes.ng/gombe/
761101,GO,Gombe,Yamaltu/Deba,Deba,Deba,Deba,true,HIGH,https://zipcodes.ng/yamaltu-deba/
761102,GO,Gombe,Yamaltu/Deba,Deba,Deba,Deba,true,HIGH,https://zipcodes.ng/yamaltu-deba/
761104,GO,Gombe,Balanga,Balanga,Balanga,Balanga,true,HIGH,https://zipcodes.ng/balanga/
761105,GO,Gombe,Balanga,Balanga,Balanga,Balanga,true,HIGH,https://zipcodes.ng/balanga/
761107,GO,Gombe,Yamaltu/Deba,Deba,Deba,Deba,true,HIGH,https://zipcodes.ng/yamaltu-deba/
761108,GO,Gombe,Balanga,Balanga,Balanga,Balanga,true,HIGH,https://zipcodes.ng/balanga/
